lemma,lemma_normalized,pos,gloss,example,example_english,source_url,source_name,flags
maayo-ayo,maayo-ayo,adjective,"beautiful, seemly, pretty",,,https://en.wiktionary.org/wiki/maayo-ayo,wiktionary,
mabahaw,mabahaw,adjective,"stale, old",,,https://en.wiktionary.org/wiki/mabahaw,wiktionary,
mabangis,mabangis,adjective,ferocious; wild; cruel; mean,,,https://en.wiktionary.org/wiki/mabangis,wiktionary,
mabasa,mabasa,adjective,(Naga) to get wet; to get covered or impregnated with any liquid,,,https://en.wiktionary.org/wiki/mabasa,wiktionary,
mabaskug,mabaskug,adjective,loud,,,https://en.wiktionary.org/wiki/mabaskug,wiktionary,
mabinantayon,mabinantayon,adjective,watchful,,,https://en.wiktionary.org/wiki/mabinantayon,wiktionary,
mabug-at,mabug-at,adjective,heavy,,,https://en.wiktionary.org/wiki/mabug-at,wiktionary,
mabulakon,mabulakon,adjective,abounding in flowers,,,https://en.wiktionary.org/wiki/mabulakon,wiktionary,
madali,madali,adjective,quickly; hurriedly; rushingly Madali siyang naghali sa trabaho para magduman sa saiyang aki na nasa ospital.S/he quickly left from work to go to the hospital where her child is confined.,,,https://en.wiktionary.org/wiki/madali,wiktionary,
madanlog,madanlog,adjective,"elusive, or slippery",,,https://en.wiktionary.org/wiki/madanlog,wiktionary,
maduyug,maduyug,adjective,attracted,,,https://en.wiktionary.org/wiki/maduyug,wiktionary,
maganas,maganas,adjective,"tasteless, insipid Antonym: marabó",,,https://en.wiktionary.org/wiki/maganas,wiktionary,
magarot,magarot,adjective,"noisy, boisterous",,,https://en.wiktionary.org/wiki/magarot,wiktionary,
mahagup,mahagup,adjective,"tame, docile, gentle",,,https://en.wiktionary.org/wiki/mahagup,wiktionary,
maidlak,maidlak,adjective,glittering or sparkling,,,https://en.wiktionary.org/wiki/maidlak,wiktionary,
mainit,mainit,adjective,"hot, sweltering Antonym: malipot",,,https://en.wiktionary.org/wiki/mainit,wiktionary,
mainpolon,mainpolon,adjective,round,,,https://en.wiktionary.org/wiki/mainpolon,wiktionary,
maingol,maingol,adjective,"rare, scarce",,,https://en.wiktionary.org/wiki/maingol,wiktionary,
maitum,maitum,adjective,black,,,https://en.wiktionary.org/wiki/maitum,wiktionary,
makakululba,makakululba,adjective,"intimidating, disconcerting",,,https://en.wiktionary.org/wiki/makakululba,wiktionary,
malipayon,malipayon,adjective,happy Antonym: subo,,,https://en.wiktionary.org/wiki/malipayon,wiktionary,
malolot,malolot,adjective,"affectionate, tender",,,https://en.wiktionary.org/wiki/malolot,wiktionary,
manipis,manipis,adjective,thin,,,https://en.wiktionary.org/wiki/manipis,wiktionary,
mango,mango,adjective,"A tropical Asian fruit tree, Mangifera indica.",,,https://en.wiktionary.org/wiki/mango,wiktionary,
mapait,mapait,adjective,bitter,,,https://en.wiktionary.org/wiki/mapait,wiktionary,
